,number_of_dialog,start_time,end_time,dialog
607,910_911_912_913_914_915_916_917_918_919_920_921_922_923_924_925_926_927,"00:42:52,272","00:43:56,961","Sometimes I think When I look up real high That there's such a big world up there I'd like to give it a try But then I sink 'Cause it's here I'm supposed to stay But I get so lonely down here Tell me why's it have to be that way Up there, there is so much room Where babies burp and flowers bloom Everyone dreams I can dream, too Up there Up where the skies are ocean blue I could be safe and live without a care Up there They say I don't belong I must stay below alone Because of my beliefs I'm supposed to stay where evil is sown But what is evil anyway? Is there reason to the rhyme?"
608,928_929_930_931_932_933_934_935_936_937_938,"00:43:57,337","00:44:42,924","Without evil there could be no good So it must be good to be evil sometimes Up there, there is so much room Where babies burp and flowers bloom Everyone dreams I can dream, too Up there Up where the skies are ocean blue I could be safe and live without a care Live without a care If only I could live up there I wanna live I wanna live I want to live up there!"
609,939,"00:44:54,269","00:44:56,187","- You're late, Cartman! - I had to ride my bike here."
610,940,"00:44:56,271","00:44:58,439",- My behind is killing me! - Your behind?
611,941,"00:44:58,524","00:45:00,608","I have to say ""behind"" 'cause I get shocked if I say ""ass""..."
612,942,"00:45:01,777","00:45:05,363","- Did you bring the punch and pie? - No, you guys, something happened."
613,943,"00:45:05,447","00:45:07,698",- I don't think Kenny's dead. - What?
614,944,"00:45:07,783","00:45:08,824",I saw him in my room.
615,945,"00:45:08,909","00:45:11,202","I know, Cartman, I know. I see Kenny every day."
616,946,"00:45:11,286","00:45:13,871","- You do? - Sure, dude, on the face of every child."
617,947,"00:45:13,956","00:45:14,914",On the smile of every baby.
618,948,"00:45:16,124","00:45:18,000","Hey, I'm telling you, this was Kenny!"
619,949_950,"00:45:18,085","00:45:23,130","He said that if Terrance and Phillip die, Saddam Hussein and Satan are gonna come up and rule the world!"
620,951,"00:45:23,215","00:45:24,215",Saddam Hussein?
621,952,"00:45:29,805","00:45:30,846",Who is it?
622,953,"00:45:30,931","00:45:32,390",I'm here for la R sistance.
623,954,"00:45:32,474","00:45:35,017",- What's the password? - I don't know.
624,955,"00:45:35,102","00:45:37,645",- Guess. - Bacon.
625,956_957,"00:45:38,480","00:45:44,860","Okay. Oh, no, it's that kid!"
626,958,"00:45:44,945","00:45:47,238",- This is the place. - Wendy?
627,959,"00:45:47,322","00:45:49,323",Stan? You started la R sistance?
628,960,"00:45:50,492","00:45:52,618","Well, apparently you're more political than we thought."
629,961,"00:45:52,703","00:45:54,704",Let us get this meeting underway. There are others coming.
630,962,"00:45:58,250","00:46:00,585","Wow, a lot of people showed up."
631,963_964_965,"00:46:02,254","00:46:07,717","Okay. Terrance and Phillip are supposed to be killed, and we think that sucks ass!"
632,966_967,"00:46:09,636","00:46:13,264",Yes? We were to understand there'd be pie and punch.
633,968,"00:46:13,348","00:46:14,348",There isn't any.
634,969_970_971_972,"00:46:14,433","00:46:25,651","Oh! Terrance and Phillip are supposed to be killed, so we think we should prank call a bunch of policemen and have pizza sent to them that they didn't order!"
635,973,"00:46:30,616","00:46:32,116",- May I? - What?
636,974_975,"00:46:32,701","00:46:36,245",Terrance and Phillip are currently being held at a Canadian internment camp two kilometers outside of town.
637,976_977,"00:46:36,330","00:46:39,290",They're to be executed tomorrow during a star-studded USO show for the troops.
638,978_979_980_981,"00:46:39,374","00:46:44,754","Tomorrow? Once the show begins, we should have about one hour to get Terrance and Phillip out of their cell and into this clearing."
639,982_983,"00:46:44,838","00:46:48,132","There, we will all rendezvous and, together, take Terrance and Phillip safely back to Canada."
640,984,"00:46:48,216","00:46:50,051","Wow, dude, Wendy's new guy is smart."
641,985,"00:46:50,135","00:46:52,803",You must all meet me at the rendezvous point at precisely 10:00 p.m.
642,986_987,"00:46:52,888","00:46:58,142","Sneaking into the show and breaking out Terrance and Phillip will be the most dangerous part, so I'll go myself."
643,988,"00:46:58,393","00:46:59,352",No! We're going!
644,989,"00:47:00,562","00:47:01,646",We started la R sistance.
645,990,"00:47:01,730","00:47:03,981",We'll get Terrance and Phillip and meet you at the rendezvous point.
646,991,"00:47:04,066","00:47:06,776",This will be very dangerous. Are you quite sure?
647,992,"00:47:06,860","00:47:07,985",Fuck that!
648,993,"00:47:08,070","00:47:09,654","Cartman, do you want that V-Chip in you forever?"
649,994,"00:47:09,738","00:47:11,947",We're going. Now let's run through the plan.
650,995,"00:47:22,376","00:47:24,585","Oh, boy! Military action, Ned!"
651,996,"00:47:24,670","00:47:27,463",Let's kill us some goddamn Australians!
652,997,"00:47:27,547","00:47:29,590",I think we're fighting Canadians.
653,998,"00:47:29,675","00:47:31,842","Canadians, Australians, what's the difference?"
654,999,"00:47:31,927","00:47:36,389","Yeah. This uniform makes me feel like a tough, brute man, Mr. Hat."
655,1000,"00:47:36,473","00:47:38,474","It sure does, Mr. Garrison."
656,1001_1002,"00:47:38,558","00:47:43,896","Oh, boy, I can't wait for our first shore leave so I can get me some fucking poontang."
657,1003,"00:47:43,980","00:47:44,980",Pay attention!
658,1004,"00:47:45,065","00:47:48,317",Tomorrow night is the USO show for all you troops!
659,1005,"00:47:48,402","00:47:51,862","There will be celebrities, followed by the execution of Terrance and Phillip."
660,1006,"00:47:53,615","00:47:57,910","After the show, we will finally be sending ground troops into Canada."
661,1007,"00:47:57,994","00:47:59,286",So let's strategize.
662,1008_1009_1010,"00:47:59,371","00:48:06,502","Map! Our sources have told us that the Canadians are preparing for our invasion, so we must use caution."
663,1011,"00:48:06,586","00:48:08,963",Each battalion has a specific code name and mission.
664,1012,"00:48:09,047","00:48:11,465","Battalion Five, raise your hands."
665,1013_1014,"00:48:11,550","00:48:16,721","You will be the all-important first attack wave, which we will call Operation Human Shield."
666,1015,"00:48:16,805","00:48:17,888","Hey, wait a minute!"
667,1016,"00:48:17,973","00:48:21,100","Now keep in mind, Operation Human Shield will suffer heavy losses."
668,1017,"00:48:21,184","00:48:22,685",Battalion Fourteen?
669,1018,"00:48:23,186","00:48:26,063",Right. You are Operation Get Behind the Darkies.
670,1019,"00:48:26,148","00:48:27,898",You will follow Battalion Five here.
671,1020,"00:48:27,983","00:48:31,736","And try not to get killed, for God's sake. Are there any questions, men?"
672,1021,"00:48:31,820","00:48:32,820","Yes, soldier?"
673,1022,"00:48:32,904","00:48:35,531",Have you ever heard of the Emancipation Proclamation?
674,1023,"00:48:35,615","00:48:37,199",I don't listen to hip-hop.
675,1024,"00:48:37,284","00:48:40,077","After that, we will march into the heart of Canada and we will..."
676,1025,"00:48:41,455","00:48:43,289",I'm coming to get you! I'm coming to get you!
677,1026,"00:48:43,373","00:48:45,666",What's wrong with this thing?
678,1027,"00:48:46,084","00:48:49,420",It's fucking Windows 98! Get Bill Gates in here!
679,1028_1029,"00:48:52,674","00:48:56,927",You told us Windows 98 would be faster and more efficient with better access to the Internet.
680,1030,"00:48:57,012","00:48:59,597",It is faster. Over five million...
681,1031,"00:49:00,307","00:49:04,101","All right, men, get lots of rest and prepare to go into Canada!"
682,1032,"00:49:07,856","00:49:10,357","After you have Terrance and Phillip, quietly make your way to this ridge."
683,1033_1034,"00:49:10,442","00:49:14,445","We will be waiting for you there. We cannot wait for long, so if you're not there at 10:00, we'll have to leave."
684,1035_1036,"00:49:14,529","00:49:18,407","- Got you. - You are indeed brave, but you will need help from someone who's done this sort of thing before."
685,1037,"00:49:18,492","00:49:20,993",- Here's the address of The Mole. - The Mole?
686,1038,"00:49:21,077","00:49:23,454",He is an expert in covert operations. A mercenary for hire.
687,1039,"00:49:23,538","00:49:26,332",Your first task will be obtaining him. Get lots of sleep.
688,1040,"00:49:26,416","00:49:29,919","Tomorrow, we will all be risking our lives for freedom."
689,1041_1042_1043_1044_1045_1046_1047_1048_1049_1050_1051_1052_1053_1054,"00:49:30,170","00:50:19,051","God has smiled upon you this day The fate of a nation in your hands And blessed be the children Who fight with all our bravery Till only the righteous stand You see the distant flames They bellow in the night You fight in all our names for what we know is right And when you all get shot and cannot carry on Though you die, la R sistance lives on You may get stabbed in the head with a dagger or a sword You may be burned to death or skinned alive or worse But when they torture you you will not feel the need to run For though you die la R sistance lives on Blame Canada! Blame Canada!"
690,1055,"00:50:19,135","00:50:23,389",Because the country's gone awry Tomorrow night these freaks will fry!
691,1056_1057_1058_1059_1060_1061_1062_1063_1064_1065_1066,"00:50:23,932","00:50:50,708","Tomorrow night Our lives will change Tomorrow night, we'll be entertained An execution What a sight Tomorrow night Up there, there is so much room Where babies burp and flowers bloom Tomorrow night, up there is doomed And so I will be going soon Shut your fucking face, uncle fucka You're a boner-biting bastard Uncle fucka Looks like we may be out of luck Tomorrow night, we're pretty fucked Why did our mothers start this war?"
692,1067,"00:50:50,792","00:50:52,293",What the fuck are they fighting for?
693,1068,"00:50:52,377","00:50:54,295",When did this song become a marathon?
694,1069_1070,"00:50:54,379","00:50:58,257",- I want to be up there... - When Canada is dead and gone There'll be no more Celine Dion!
695,1071_1072_1073_1074,"00:50:58,341","00:51:09,310","They might cut your dick in half and serve it to a pig And though it hurts you'll laugh and dance a dickless jig But that's the way it goes In war, you're shat upon - Though we die... - I want to be up there..."
696,1075,"00:51:09,394","00:51:13,147",...la R sistance lives on!
697,1076,"00:51:13,481","00:51:16,567",Blame Canada! Blame Canada!
698,1077,"00:51:16,651","00:51:18,485",- Tomorrow night! - Tomorrow night!
699,1078,"00:51:23,825","00:51:25,409","Oh, boy, I'm so excited!"
700,1079,"00:51:25,493","00:51:27,703",Just one more day until we can take over the world.
701,1080,"00:51:27,787","00:51:30,289","I don't know if I can sleep, if you know what I mean."
702,1081,"00:51:30,373","00:51:31,790",This book is really interesting.
703,1082,"00:51:31,875","00:51:34,251",It talks about how people communicate differently.
704,1083,"00:51:34,336","00:51:37,588","Like, I communicate by wanting you to ask me questions, and you..."
705,1084,"00:51:37,672","00:51:39,256","Hey, that is interesting! Let's fuck!"
706,1085,"00:51:40,467","00:51:43,469","Saddam, I'm trying to have a nice conversation with you."
707,1086,"00:51:43,553","00:51:45,179","Hey, Satan."
708,1087,"00:51:45,263","00:51:47,848",Oh! Now that is just not appropriate!
709,1088,"00:51:47,933","00:51:50,893","Come on, I'm just fucking with you! It's not real!"
710,1089,"00:51:50,977","00:51:53,270","- Well, that is still not appropriate. - Hey, daddy."
711,1090,"00:51:54,481","00:51:57,483","It's not real, either! Come on, guy!"
712,1091_1092,"00:52:00,862","00:52:06,575",Oh! Soon the world will belong to me!
713,1093,"00:52:09,371","00:52:12,748","It's Saddam, he doesn't nurture my emotions."
714,1094,"00:52:12,832","00:52:16,001",He just wants sex and can't learn to communicate.
715,1095_1096_1097,"00:52:17,671","00:52:25,177","You're right, I should leave him! I'm just gonna tell him, ""Saddam, I'm going to Earth to rule alone!"" I'm strong and I don't need him!"
716,1098_1099_1100_1101,"00:52:30,141","00:52:38,482",Today's the day for the USO show we're so happy we get to go I don't know but I've been told Canadian pussy is mighty cold...
717,1102_1103,"00:52:38,566","00:52:44,113","Ike, you have to stay in the attic 'cause if they find you, they'll put you in a Canadian concentration camp."
718,1104,"00:52:44,406","00:52:46,490","Don't worry, Ike, we're gonna put an end to this."
719,1105,"00:52:46,574","00:52:50,661",And then I'll make Mom come home and we'll all be a family again.
720,1106,"00:52:53,915","00:52:55,666",All of that is home.
721,1107,"00:53:10,724","00:53:14,518",- Hello? - Hi. We need to speak with The Mole.
722,1108,"00:53:14,602","00:53:18,313","I'm sorry, The Mole is grounded. He can't come out and play."
723,1109,"00:53:18,398","00:53:19,481",- What? - He's a kid?
724,1110,"00:53:19,566","00:53:21,859",He said very naughty things about God.
725,1111,"00:53:21,943","00:53:24,611","Oh! Well, can we just talk to him for five seconds, please?"
726,1112,"00:53:24,696","00:53:27,031","Well, all right. Christophe?"
727,1113_1114,"00:53:29,325","00:53:32,703","Hi, we're gonna go rescue Terrance and Phillip from the USO show and..."
728,1115,"00:53:32,787","00:53:34,913",- Shh! Who are you? Who sent you? - That Gregory kid.
729,1116,"00:53:34,998","00:53:36,206",He said you could sneak us in.
730,1117_1118,"00:53:36,291","00:53:42,254","Are you telling me that you intend to break into the USO show, filled with thousands of soldiers, and break out Terrance and Phillip?"
731,1119,"00:53:42,338","00:53:44,089","I thought it was a pretty stupid idea, too."
732,1120,"00:53:44,174","00:53:45,215",We're la R sistance!
733,1121,"00:53:45,300","00:53:47,843",We wanna save Terrance and Phillip and stop the war and stuff.
734,1122,"00:53:47,927","00:53:51,013",I can't help you. I'm grounded in my room for the next three days.
735,1123,"00:53:51,097","00:53:53,140",So are we. Our parents think we're home right now.
736,1124,"00:53:53,224","00:53:54,224",Why are you grounded?
737,1125,"00:53:54,309","00:53:56,560","Why? Because God hates me, that's why."
738,1126,"00:53:56,644","00:53:58,187",He has made my life miserable.
739,1127,"00:53:58,271","00:54:00,898",So I call him a cock-sucking asshole and I get grounded.
740,1128,"00:54:00,982","00:54:02,900",- So will you help us? - Very well.
741,1129,"00:54:02,984","00:54:04,902",Meet me in the backyard in five minutes.
742,1130,"00:54:06,154","00:54:08,072",We'll show God that we're not gonna fucking take any more...
743,1131,"00:54:08,156","00:54:09,615","What? Christophe, get in here!"
744,1132,"00:54:09,699","00:54:11,283","Coming, Mother."
745,1133,"00:54:12,452","00:54:14,953",I must be strong. I must be strong.
746,1134,"00:54:15,997","00:54:18,123","Saddam, I need to talk to you."
747,1135,"00:54:18,208","00:54:19,416","You better get packing, bitch."
748,1136,"00:54:19,501","00:54:21,376",We have to go. We're running out of time.
749,1137_1138,"00:54:21,461","00:54:27,132","Saddam, sometimes you can love a person very much, but still know that they aren't right for you."
750,1139,"00:54:27,217","00:54:28,926",What the fuck are you talking about?
751,1140,"00:54:29,010","00:54:31,595","You treat me like shit, Saddam! I'm leaving you!"
752,1141,"00:54:31,679","00:54:33,806",I'm going up to Earth to rule alone!
753,1142,"00:54:33,890","00:54:36,391","No. No, you can't do that!"
754,1143,"00:54:36,476","00:54:40,354","- I'm sorry, but I have to be strong. - Satan, please, give me another chance!"
755,1144,"00:54:40,438","00:54:43,565",- I have to go to Earth! - You don't even have respect for me!
756,1145,"00:54:43,650","00:54:46,735","Sure I do, guy. Please, just hear me out."
757,1146_1147_1148_1149_1150_1151_1152_1153_1154_1155_1156_1157_1158_1159_1160_1161_1162,"00:54:49,989","00:55:41,623","Some people say that I'm a bad guy They may be right They may be right But it's not as if I don't try I just fuck up, try as I might But I can change, I can change I can learn to keep my promises I swear it I'll open up my heart and I will share it Any minute now I will be born again Yes, I can change, I can change I know I've been a dirty little bastard I like to kill, I like to maim Yes, I'm insane, but it's okay 'cause I can change It's not my fault that I'm so evil It's society Society You see, my parents were sometimes abusive And it made a prick of me But I can change, I can change What if you remain a sandy little butthole?"
758,1163_1164_1165_1166,"00:55:41,708","00:56:13,697","Satan, don't be such a twit Mother Teresa won't have shit on me Just watch Just watch me change Here I go I'm changing You see, I've really matured."
759,1167,"00:56:13,781","00:56:15,824",- Oh! All right. - All right!
760,1168,"00:56:15,909","00:56:19,161",- Come on. We have to hurry. - I love you.
761,1169_1170_1171,"00:56:22,957","00:56:27,461","Ladies and gentlemen of the American Army, welcome to the USO show!"
762,1172_1173,"00:56:28,630","00:56:35,886","Get ready for loads of entertainment and fabulous celebrities, followed immediately by the nasty execution of Terrance and Phillip!"
763,1174_1175,"00:56:40,892","00:56:44,519",This is the USO show where those military bitches intend to kill Terrance and Phillip.
764,1176,"00:56:44,604","00:56:46,396","- Oh, my God! - God?"
765,1177,"00:56:46,481","00:56:48,190",He is the biggest bitch of them all.
766,1178,"00:56:48,274","00:56:52,027",We have to hurry. We rendezvous with the other kids at 10:00.
767,1179_1180,"00:56:52,487","00:56:55,906","You realize that by doing this, we could be grounded for two, perhaps even three weeks."
768,1181,"00:56:55,990","00:56:58,367",- We're willing to take that risk. - Then let's go.
769,1182_1183,"00:56:58,451","00:57:04,164","And now, here are your hosts for the evening, Sheila Broflovski and Big Gay Al!"
770,1184,"00:57:06,834","00:57:09,711","Al, tonight is a very special night, do you know why?"
771,1185,"00:57:09,796","00:57:11,672",Ooh! They're having a sale at Merv's?
772,1186,"00:57:12,840","00:57:16,260","No, because we're going to abolish Canadian smut!"
773,1187,"00:57:16,344","00:57:19,429","That's right, Sheila! Bring out the condemned!"
774,1188,"00:57:23,643","00:57:26,770",Today is a great day for democracy!
775,1189_1190,"00:57:29,023","00:57:33,151","Phillip, this is worse than that night I fell asleep and you put your dick in my mouth and took a picture!"
776,1191,"00:57:33,236","00:57:34,778","I know, Terrance. I know."
777,1192_1193,"00:57:34,862","00:57:41,952","Well, Sheila, while you're getting set up over there, let's bring out our first act, Yippie the back-flipping dog!"
778,1194,"00:57:54,382","00:57:56,883",Be careful not to touch this wire.
779,1195_1196_1197,"00:57:57,510","00:58:09,730","Motherfucker... Fuck... Shit, the USO show has started! We are running out of time!"
780,1198,"00:58:09,814","00:58:11,148",Do you see Terrance and Phillip?
781,1199,"00:58:11,232","00:58:13,734","Yes, but they are heavily guarded."
782,1200,"00:58:13,818","00:58:15,694",We have to dig from here so as not to be seen.
783,1201,"00:58:15,778","00:58:16,862","Come on, bitches."
784,1202,"00:58:18,656","00:58:20,699","Hey, Mole, do you know where the clitoris is?"
785,1203,"00:58:20,783","00:58:21,908",- The what? - The clitoris.
786,1204,"00:58:21,993","00:58:24,536",I have to find the clitoris so I can get this Wendy girl to like me again.
787,1205,"00:58:24,620","00:58:26,330",You need to stop thinking with your dick!
788,1206_1207,"00:58:26,414","00:58:28,999",You have to be on your toes because I am not going to be grounded again!
789,1208,"00:58:29,083","00:58:30,751",Not for you. Not for anybody.
790,1209_1210_1211_1212_1213,"00:58:31,169","00:58:44,306","Men, when you're out there in the battlefield and you're looking into the beady eyes of a Canadian as he charges you with his hockey stick or whatever he has and people are dying all around you, just remember what the M. P.A.A. says."
791,1214_1215_1216,"00:58:44,390","00:58:52,898","""Horrific, deplorable violence is okay, ""as long as people don't say any naughty words!"" That is what this war is all about!"
792,1217_1218_1219,"00:58:54,567","00:59:02,532","What? Shit! Move, move!"
793,1220,"00:59:03,785","00:59:07,287",Okay. We will split up here. Let's synchronize watches.
794,1221,"00:59:07,705","00:59:09,539",- We don't have watches. - You don't have watches?
795,1222,"00:59:09,624","00:59:10,707","Dude, you didn't say anything about watches!"
796,1223,"00:59:10,792","00:59:11,917","What do you think this is, kid?"
797,1224_1225,"00:59:12,001","00:59:15,504","TV kiddie-hour where we all sit around and lick Barney the dinosaur's fucking pussy, huh?"
798,1226,"00:59:15,588","00:59:17,589","This is real life, with consequences you take to the grave!"
799,1227,"00:59:17,673","00:59:20,467","- Dude, we don't have watches. - Shit! Did you bring the mirror?"
800,1228,"00:59:20,551","00:59:21,551",- Got it! - And the rope?
801,1229,"00:59:21,636","00:59:23,261",- Check. - And the buttfor?
802,1230,"00:59:23,346","00:59:26,056","- What's a buttfor? - For pooping, silly."
803,1231_1232,"00:59:28,059","00:59:31,770","Now, listen carefully. I will dig under the stage, and with that bedrock, I will need more time."
804,1233,"00:59:31,854","00:59:34,564","Stan and Kyle, get near that stage and stall the show any way you can."
805,1234_1235,"00:59:34,649","00:59:37,776",Do whatever it takes to keep that show going - until I get to the prisoners. - Okay.
806,1236,"00:59:37,860","00:59:39,778","Cartman, over there is the electrical box."
807,1237_1238_1239,"00:59:39,862","00:59:45,325",You must sneak over there and shut it off before I return with Terrance and Phillip or the alarms will sound and I will be attacked by guard dogs.
808,1240,"00:59:45,410","00:59:46,660",- Got it? - Okay.
809,1241,"00:59:46,744","00:59:49,204",You must shut off the alarms! I fucking hate guard dogs!
810,1242,"00:59:49,288","00:59:50,664","I heard you the first time, you British piece of shit."
811,1243,"00:59:51,833","00:59:54,584","If anything goes wrong, make a sound like a dying giraffe."
812,1244,"00:59:54,669","00:59:56,503",What's a dying giraffe sound like?
813,1245,"01:00:00,049","01:00:01,341",- Okay. - Let's go.
814,1246,"01:00:01,426","01:00:03,009","- Be careful, dude. - Careful?"
815,1247_1248,"01:00:03,094","01:00:08,682",Was my mother careful when she stabbed me in the heart with a clothes hanger while I was still in the womb?
816,1249,"01:00:12,437","01:00:14,271","Damn, dude. That kid is fucked up."
817,1250,"01:00:14,355","01:00:18,150","- How are those chairs coming, Sheila? - Al, we're minutes away."
818,1251_1252,"01:00:18,234","01:00:25,991","Super! In the meantime, here's pint-size pixie and darling of the indie movie scene, Winona Ryder!"
819,1253,"01:00:26,200","01:00:27,200","Hi, guys."
820,1254,"01:00:28,369","01:00:30,162",I'm super psyched to be here today.
821,1255,"01:00:30,246","01:00:33,540",What you're doing for our country is so cool.
822,1256,"01:00:34,083","01:00:38,253","I mean war, man. Wow. War, you know?"
823,1257_1258,"01:00:38,629","01:00:44,759","Wow. Okay! And now for your enjoyment, here's my famous ping-pong ball trick!"
824,1259,"01:00:53,186","01:00:54,394","Oh, my!"
825,1260,"01:00:55,188","01:00:56,938","""Shut off the power, Cartman."
826,1261_1262,"01:00:57,023","01:01:01,151","""This is very important, Cartman."" Dude, did you hear what Winona Ryder's doing?"
827,1263,"01:01:01,235","01:01:03,028",We can't miss this.
828,1264,"01:01:06,574","01:01:08,408","There, I didn't miss one!"
829,1265,"01:01:08,493","01:01:10,785",That's my ping-pong ball trick!
830,1266_1267,"01:01:14,832","01:01:19,669","Well, that's all the acts we have for you tonight, so let's just get on with the execution!"
831,1268,"01:01:20,880","01:01:23,507","- Oh, no. We have to stall him. - More! More!"
832,1269,"01:01:23,591","01:01:25,050","Yeah, more!"
833,1270,"01:01:25,134","01:01:28,011",You big sillies! You want to see more of me?
834,1271,"01:01:28,095","01:01:30,347",Yeah! Big Gay Al! Big Gay Al!
835,1272,"01:01:30,431","01:01:32,474",Big Gay Al! Big Gay Al!
836,1273,"01:01:32,558","01:01:36,019","Well, I do have a little song I wrote about the war."
837,1274,"01:01:36,103","01:01:37,854",But we haven't rehearsed.
838,1275,"01:01:37,939","01:01:39,940","- Sing it! - Yeah, sing it!"
839,1276,"01:01:40,024","01:01:42,859",- Oh! I can't. - Sing the fucking song!
840,1277,"01:01:42,944","01:01:45,695","Well, all right, if you insist, I'll sing my song."
841,1278,"01:01:45,780","01:01:48,240",I believe it goes a little bit like this.
842,1279_1280_1281_1282,"01:01:50,451","01:02:07,092","Bombs are flying People are dying Children are crying Politicians are lying, too Cancer is killing Texaco's spilling The whole world's gone to hell But how are you?"
843,1283_1284_1285_1286,"01:02:07,677","01:02:22,315","I'm super, thanks for asking All things considered I couldn't be better, I must say I'm feeling super No, nothing bugs me Everything is super when you're... Don't you think I look cute in this hat?"
844,1287_1288_1289_1290_1291_1292_1293_1294,"01:02:23,442","01:02:49,134","I'm so sorry, Mr. Cripple But I just can't feel too bad for you right now Because I'm feeling so insanely super That even the fact that you can't walk can't bring me down He's super, thanks for asking All things considered he couldn't be better, he must say I'm super No, nothing bugs me Everything is super when you're... Don't you think I look cute in this hat?"
845,1295_1296_1297_1298_1299_1300_1301,"01:02:49,218","01:03:02,272","These little pants this matching tie that I got at Merv's I'm super In the barracks and the trenches as well - Stick 'em up! - Big Gay Al says - ""Do ask, do tell"" - Skittles Yes, he's super and he's proud to be gay Okay?"
846,1302_1303,"01:03:02,356","01:03:11,406",Everything is super when you're gay when you're gay!
847,1304,"01:03:13,075","01:03:14,576",Again! Again!
848,1305,"01:03:23,127","01:03:24,419",Who's there?
849,1306,"01:03:25,838","01:03:27,047",Son of a gun! Heck!
850,1307,"01:03:28,507","01:03:29,466",They're coming?
851,1308,"01:03:30,718","01:03:32,177",But our moms won't listen to us!
852,1309_1310,"01:03:38,684","01:03:44,230","Okay, everybody, just wanna take a minute here to thank all our wonderful sponsors we had tonight on this USO show."
853,1311,"01:03:44,315","01:03:45,482",- He's almost got them. - Shh!
854,1312,"01:03:45,566","01:03:46,608",We are here to rescue you.
855,1313,"01:03:46,692","01:03:48,526","After I release you, follow me through the tunnel."
856,1314,"01:03:48,611","01:03:49,944","- You guys! Seriously! - What, Cartman?"
857,1315,"01:03:50,029","01:03:51,321",Kenny! I saw Kenny again!
858,1316,"01:03:51,405","01:03:53,907","Did you shut the alarm off, Cartman?"
859,1317_1318,"01:03:54,200","01:03:57,494",Cartman? - Whoops! - Oh! Shit!
860,1319,"01:03:59,580","01:04:02,207","Hey, did you hear that? Sounds like a giraffe is dying over there."
861,1320,"01:04:03,417","01:04:05,001",- Shit! - A spy!
862,1321,"01:04:05,086","01:04:06,086",Get him!
863,1322,"01:04:07,254","01:04:08,838",Shit! Shit!
864,1323,"01:04:09,965","01:04:11,174","Oh, no!"
865,1324,"01:04:12,426","01:04:14,177","Come on, Mole, come on!"
866,1325,"01:04:14,261","01:04:17,263",Shit! Shit! Fucking guard dogs! Shit!
867,1326,"01:04:17,765","01:04:19,224","The alarms, they went off."
868,1327,"01:04:19,308","01:04:20,725","Yeah, that was my bad. Sorry."
869,1328,"01:04:20,810","01:04:23,728",Hold me. It's so very cold.
870,1329,"01:04:23,813","01:04:25,689",There is no hope now. You must get out of here.
871,1330,"01:04:25,773","01:04:27,899","- We can't leave without you! - It's okay, I'm done for."
872,1331,"01:04:27,983","01:04:30,402","No, we can't leave without you! We don't know where the hell we are!"
873,1332,"01:04:30,486","01:04:32,696","Where is your God when you need him, huh?"
874,1333,"01:04:32,780","01:04:35,031","Where is your beautiful, merciful faggot now?"
875,1334,"01:04:36,200","01:04:39,160","Here I come, God. Here I come, you fucking rat."
876,1335_1336_1337_1338,"01:04:39,245","01:04:48,169","Now the light, she fades And darkness settles in But I will find strength No, Mole. Hang on."
877,1339_1340,"01:04:48,254","01:04:51,172",I will find pride within We'll get you home.
878,1341_1342,"01:04:51,257","01:04:54,008",Because although I die I can't face my mother.
879,1343_1344,"01:04:54,093","01:04:57,137",Our freedom will be won Not alone.
880,1345_1346_1347,"01:04:57,221","01:05:16,948",Though I die La R sistance lives on Shit!
881,1348_1349,"01:05:17,032","01:05:21,578","Okay, folks, here it is, the moment we've all been waiting for, the execution!"
882,1350,"01:05:26,542","01:05:28,168",The day is ours!
883,1351,"01:05:29,712","01:05:30,712","Oh, no, dude, it's happening!"
884,1352,"01:05:30,796","01:05:32,422",We have to tell them about Saddam Hussein and Satan!
885,1353,"01:05:32,506","01:05:34,132","No way, dude! My mom can't see me here!"
886,1354,"01:05:34,216","01:05:36,468","Kyle, you have to stand up to your mother! Come on!"
887,1355,"01:05:36,552","01:05:39,554","Gentlemen, do you have any last words?"
888,1356,"01:05:39,638","01:05:41,890",Last words? Let's see. How's aboot...
889,1357,"01:05:41,974","01:05:44,601",Get me the fuck out of this chair! How's that for last words?
890,1358,"01:05:44,685","01:05:47,479","All right, anonymous, ready the switch."
891,1359,"01:05:48,939","01:05:50,523",- Wait! - Stanley!
892,1360,"01:05:50,608","01:05:52,192",- Eric! - Kyle!
893,1361,"01:05:53,360","01:05:56,029","- Go on, dude, tell her. - I can't."
894,1362,"01:05:56,781","01:05:57,989",You can't kill Terrance and Phillip.
895,1363,"01:05:58,073","01:06:02,535","If they die, Satan and Saddam Hussein are gonna come take over the world!"
896,1364,"01:06:06,415","01:06:08,541","Throw the switch, Mr. Garrison."
897,1365,"01:06:08,626","01:06:11,127","Hey, I'm supposed to be anonymous."
898,1366,"01:06:12,505","01:06:14,130","Goodbye, bastards!"
899,1367_1368,"01:06:14,215","01:06:25,975",No! The Canadians are attacking! Run for your lives!
900,1369,"01:06:26,477","01:06:29,145",Come on. We have to shut off the power!
901,1370,"01:06:29,230","01:06:30,271",Ow! Fuck!
902,1371,"01:06:32,733","01:06:35,235","Hey, some little fat kid saved us!"
903,1372,"01:06:40,741","01:06:41,825","Terrance and Phillip, wait!"
904,1373,"01:06:41,909","01:06:44,744",We have to get you to the rendezvous point!
905,1374,"01:06:47,748","01:06:49,123","Ned, behind you!"
906,1375,"01:07:07,685","01:07:10,228",Be not afraid.
907,1376,"01:07:10,312","01:07:11,396","Oh, my God!"
